"Unique Id","Survey Id","Keyword Id","Keyword Content","Country Of Origin Id","Country Of Origin Label","Country Id","Country Label","Province Id","Province Label","Age Group Id","Age Group Label","Gender Label","Share Device","Mobile Type","Degree","Rank Pandemic","Source Information Id","Source Information Label","Result Item Rank","Result Item Title","Result Item Metadesc","Result Item Created At","Result Item Full Url","Result Item Full Domain","Google Tracked Country","Google Tracked Address","Result Item Openrank","Keyword Openrank Average","Survey Openrank Average","Html File"
"1","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","1","Is hydroxychloroquine beneficial for COVID-19 patients? | Cell ...","Jul 8, 2020 -  The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first&nbsp;...  by X Li  - ‎2020  - ‎Cited by 7 ","Jul 8, 2020","https://www.nature.com/articles/s41419-020-2721-8","nature.com","Germany","Heppenheim","81","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"2","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","2","An Update: Is hydroxychloroquine effective for COVID-19?","Sep 22, 2020 -  Hydroxychloroquine, an FDA-approved prescription drug used for malaria, rheumatoid arthritis and lupus erythematosus, has been suggested as&nbsp;...  ","Sep 22, 2020","https://www.drugs.com/medical-answers/hydroxychloroquine-effective-covid-19-3536024/","drugs.com","Germany","Heppenheim","77","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"3","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","3","Effectiveness of hydroxychloroquine in COVID-19 disease: A ...","Arshad et al. show evidence for reduced mortality in COVID-19 patients taking hydroxychloroquine alone or with azithromycin in an observational study in the&nbsp;...  by AA Monforte  - ‎2020  - ‎Cited by 3 ","","https://www.ijidonline.com/article/S1201-9712(20)30600-7/fulltext","ijidonline.com","Germany","Heppenheim","51","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"4","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","4","Coronavirus and hydroxychloroquine: What do we know? - BBC","There are studies looking at using these drugs for Covid-19 - but are they safe and do they work?  ","","https://www.bbc.com/news/51980731","bbc.com","Germany","Heppenheim","81","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"5","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","5","Hydroxychloroquine and COVID-19 - NPS MedicineWise","Hydroxychloroquine has been suggested for the prevention and treatment of COVID-19. NPS MedicineWise examines emerging evidence and current&nbsp;...  ","","https://www.nps.org.au/hcq-and-covid-19","nps.org.au","Germany","Heppenheim","60","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"6","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","11","FDA cautions against use of hydroxychloroquine or ...","Jul 1, 2020 -  FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart&nbsp;...  ","Jul 1, 2020","https://www.fda.gov/drugs/drug-safety-and-availability/fda-cautions-against-use-hydroxychloroquine-or-chloroquine-covid-19-outside-hospital-setting-or","fda.gov","Germany","Heppenheim","82","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"7","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","12","Q&A: Hydroxychloroquine and COVID-19","Jun 19, 2020 -  On 17 June 2020, WHO announced that the hydroxychloroquine (HCQ) arm of the Solidarity Trial to find an effective COVID-19 treatment was&nbsp;...  ","Jun 19, 2020","https://www.who.int/news-room/q-a-detail/q-a-hydroxychloroquine-and-covid-19","who.int","Germany","Heppenheim","83","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"8","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","13","Hydroxychloroquine No More Effective Than Placebo in ...","5 days ago -  In a clinical trial testing whether a daily regimen of hydroxychloroquine could protect those most likely to be exposed to COVID-19, researchers&nbsp;...  ","5 days ago","https://www.pennmedicine.org/news/news-releases/2020/september/hydroxychloroquine-no-more-effective-than-placebo-in-preventing-covid19","pennmedicine.org","Germany","Heppenheim","62","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"9","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","14","Hydroxychloroquine for the Prevention of Covid-19 ... - NEJM","Aug 6, 2020 -  Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus that causes coronavirus disease 2019 (Covid-19), has generated a&nbsp;...  by MS Cohen  - ‎2020  - ‎Cited by 22  - ‎Related articles ","Aug 6, 2020","https://www.nejm.org/doi/full/10.1056/NEJMe2020388","nejm.org","Germany","Heppenheim","75","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
"10","4","9","is hydroxychloroquine effective for covid","60","Germany","60","Germany","954","Hessen","4","35-44","other","NO","OnePlus 6S","High school graduate or GED (includes technical/vocational training that doesn’t towards college credit)","5","5","Social Media","15","Effectiveness of hydroxychloroquine in COVID-19 ... - NCBI","Jul 29, 2020 -  show evidence for reduced mortality in COVID-19 patients taking hydroxychloroquine alone or with azithromycin in an observational study in the&nbsp;...  by AA Monforte  - ‎Cited by 3 ","Jul 29, 2020","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7388856/","ncbi.nlm.nih.gov","Germany","Heppenheim","-1","72.44","71.56","fairness.datasciencevn.com/uploads/html/4-9-1601904041.html"
